Unnamed: 0,model,A,B,Nx,dx,Nt,dt,Du,Dv,initial_condition,random_seed,n_snapshots,filename,run_id,original_point,final_deviation,mean_deviation,std_deviation,max_derivative,mean_derivative,dominant_power,total_power,max_u,max_v,category,op
2354,bruss,0.5335829603764242,1.0847441042486252,128,1.0,60000,0.0025,1.0840406627140518,10.747481991403514,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",241505,100,/cluster/scratch/vogtva/data/bruss/ball_big/fa323836-a7d4-4bd1-88b2-ca9c539246fb_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",9.21487808227539e-05,9.21487808227539e-05,0.0,34.394447,0.0,0.006557496,0.2379502,0.73872787,2.1432106,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
2376,bruss,0.4695195884405733,0.9985634315205694,128,1.0,60000,0.0025,0.9011019139647244,11.753460324141908,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",356815,100,/cluster/scratch/vogtva/data/bruss/ball_big/9d7eb5ee-2249-4a9f-aa0b-297e18c437fc_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",6.514103807641204e-05,6.514103807641204e-05,0.0,197.5617,0.0,0.01009609,0.4346804,3.4055982,2.6192317,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
2531,bruss,0.4717302161275981,1.0281270669801996,128,1.0,60000,0.0025,1.060916185742296,11.406506676310906,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",683846,100,/cluster/scratch/vogtva/data/bruss/ball_big/1432fc82-5ad6-4d86-9238-424f1654c576_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",5.0693750381469727e-05,5.0693750381469727e-05,0.0,23.508457,0.0,0.0038126938,0.09896543,0.5590619,2.3556974,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
2790,bruss,0.4980272126124347,1.0415449122222156,128,1.0,60000,0.0025,1.0902559246768622,11.432330120273068,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",450308,100,/cluster/scratch/vogtva/data/bruss/ball_big/5aea74b2-5748-43d0-badc-8abd4b88085b_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",8.0108642578125e-05,8.0108642578125e-05,0.0,21.403156,0.0,0.0045720325,0.15181123,0.55407685,2.2371342,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
2855,bruss,0.4844354912238863,0.9613560451121336,128,1.0,60000,0.0025,1.008162802638063,10.81299623740371,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",803539,100,/cluster/scratch/vogtva/data/bruss/ball_big/82394276-ff52-4738-9e41-0140e6214709_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",4.7164167878190446e-05,4.7164167878190446e-05,0.0,51.539642,0.0,0.005703516,0.19666143,0.74213433,2.2344263,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
2964,bruss,0.4695195884405733,0.9985634315205694,128,1.0,60000,0.0025,0.9011019139647244,11.753460324141908,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",987896,100,/cluster/scratch/vogtva/data/bruss/ball_big/e6de9bc7-2c98-4e09-a7a6-58fc884d81b2_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",6.893277168273926e-05,6.893277168273926e-05,0.0,9.341722,0.0,0.0015228512,0.043037795,0.50642467,2.1766324,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
3263,bruss,0.4717302161275981,1.0281270669801996,128,1.0,60000,0.0025,1.060916185742296,11.406506676310906,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",75035,100,/cluster/scratch/vogtva/data/bruss/ball_big/7cfb95b2-74e3-4228-af45-b058a7bfc533_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",4.542192058450371e-05,4.542192058450371e-05,0.0,59.410637,0.0,0.0074913763,0.22150005,0.7906857,2.429476,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
3278,bruss,0.4842748925853022,0.9340221476128776,128,1.0,60000,0.0025,1.042838708097591,11.4238701121892,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",664820,100,/cluster/scratch/vogtva/data/bruss/ball_big/caaa778e-5ff4-4198-beae-cadddb56bc4c_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",4.813075065612793e-05,4.813075065612793e-05,0.0,19.640976,0.0,0.0023195138,0.07249486,0.5040023,1.99581,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
3344,bruss,0.4503871869238587,1.023777914058361,128,1.0,60000,0.0025,1.0016705521472753,10.74928606347081,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",555689,100,/cluster/scratch/vogtva/data/bruss/ball_big/8edbd1f9-aa00-4ee6-a71f-40155573b06d_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",6.469879630049304e-05,6.469879630049304e-05,0.0,61.29148,0.0,0.008019695,0.22972654,0.7818055,2.5230958,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
3715,bruss,0.5461822026763904,1.0000545545095874,128,1.0,60000,0.0025,0.9496217910677704,11.19533602495117,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",590627,100,/cluster/scratch/vogtva/data/bruss/ball_big/3bea2de4-d437-41ba-b57c-44217944c639_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",3.4283015149584885e-05,3.4283015149584885e-05,0.0,126.58995,0.0,0.005486999,0.1967278,2.3191147,2.8448968,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
