Unnamed: 0,model,A,B,Nx,dx,Nt,dt,Du,Dv,initial_condition,random_seed,n_snapshots,filename,run_id,original_point,final_deviation,mean_deviation,std_deviation,max_derivative,mean_derivative,dominant_power,total_power,max_u,max_v,category,op,ic
4880,bruss,0.4886943933216994,1.928463616072043,128,1.0,60000,0.0025,3.1324268595415785,50.95880724982689,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",225322,100,/cluster/scratch/vogtva/data/bruss/ball_big/e6a79da4-289d-498a-8cfb-3c37f4805bc6_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.4974155909069896,1.6045808275211493,0.999238582273026,807.6172,143.85054,0.19853123,4.0321736,6.0948176,4.8375754,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
5441,bruss,0.4958140351581799,2.015295957367018,128,1.0,60000,0.0025,2.701498718921669,54.48832717734562,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",134171,100,/cluster/scratch/vogtva/data/bruss/ball_big/b86b2c7f-ff48-4e76-a33b-87ffc051f3aa_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.46525146484375,1.8353629468206825,1.4739594473839217,976.41187,174.51602,0.22429198,5.3119807,7.183018,5.06421,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
5571,bruss,0.5159116127411414,1.8405620815893864,128,1.0,60000,0.0025,3.270549206937548,48.62240905391592,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",711233,100,/cluster/scratch/vogtva/data/bruss/ball_big/bac43cb7-11b9-4b3c-8129-65ab1ddbbfe3_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.3676018528684356,1.3181817092444066,1.1008728666217251,708.92456,137.77383,0.20215897,3.4660213,5.359645,4.743211,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
5622,bruss,0.5493350228449874,2.030748234732529,128,1.0,60000,0.0025,3.2477846226560096,58.27269887077163,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",907764,100,/cluster/scratch/vogtva/data/bruss/ball_big/6ab28cb9-7e6d-45c7-aad2-0dd28807fce0_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.443744611570821,1.3029472049509985,0.9589546794753429,853.4566,136.00313,0.20383444,4.1162295,3.2215972,4.666903,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}"
5821,bruss,0.513034772103823,1.948944876052981,128,1.0,60000,0.0025,3.21492543812792,55.97389500724992,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",619396,100,/cluster/scratch/vogtva/data/bruss/ball_big/d7785382-7124-4af8-bac9-bdf27bc1f721_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.9884204390486316,1.46240150876017,1.2298079735592475,856.8352,150.7924,0.19313978,4.268769,3.2214954,4.6993556,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
6015,bruss,0.4625318706005139,1.8074059347128324,128,1.0,60000,0.0025,2.7754749466398048,51.74496382461004,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",783820,100,/cluster/scratch/vogtva/data/bruss/ball_big/a486b49b-c850-4062-9ba1-d883a9c6fab9_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.438947161612426,1.465593528250971,1.0618799128773933,829.79407,124.98645,0.20059352,3.6740365,3.0074968,4.6756005,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
6277,bruss,0.5159116127411414,1.8405620815893864,128,1.0,60000,0.0025,3.270549206937548,48.62240905391592,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",654094,100,/cluster/scratch/vogtva/data/bruss/ball_big/466c7654-2114-426b-96d4-015a6198e9e1_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.2532004987276517,1.1651698589663535,0.8426433659754998,720.84595,111.82444,0.21083671,3.4108248,3.4193425,4.339534,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}"
6580,bruss,0.5078974741097124,1.9693951988167369,128,1.0,60000,0.0025,3.024009007994102,58.95532620174207,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",23165,100,/cluster/scratch/vogtva/data/bruss/ball_big/6890f5d7-7def-49d9-8a70-0d1f9ad4ef88_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.6396494487333579,1.589369473248544,1.471158132533664,892.0548,173.6911,0.24005951,4.7700577,3.3614175,4.8065844,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
6626,bruss,0.5291668686824733,1.890997855891172,128,1.0,60000,0.0025,2.84910394951663,56.87474371135476,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",215570,100,/cluster/scratch/vogtva/data/bruss/ball_big/f505daba-1a85-4abb-81ba-d8861f5144dc_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.8641690189880732,1.21168690120539,0.7170051635659495,565.94025,117.62067,0.19710392,2.1122901,1.8759856,4.3940325,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
6729,bruss,0.4816021753130481,1.828208221740529,128,1.0,60000,0.0025,3.0565582468255648,55.07174852066984,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",8435,100,/cluster/scratch/vogtva/data/bruss/ball_big/e182ebee-1ee0-4902-9efe-b283847b1209_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.807772426266642,1.6555927680201787,1.4104164790162597,803.9923,161.05022,0.19164884,4.540002,11.947833,4.69868,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
6785,bruss,0.4958140351581799,2.015295957367018,128,1.0,60000,0.0025,2.701498718921669,54.48832717734562,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",916945,100,/cluster/scratch/vogtva/data/bruss/ball_big/eb4e4095-3fc5-4516-8dbf-1424cf7f1a36_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.3819944266595784,1.480376938678809,0.866792955069476,975.16296,133.8566,0.23076317,4.566791,3.6751673,5.064069,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
