Unnamed: 0,model,A,B,Nx,dx,Nt,dt,Du,Dv,initial_condition,random_seed,n_snapshots,filename,run_id,original_point,final_deviation,mean_deviation,std_deviation,max_derivative,mean_derivative,dominant_power,total_power,max_u,max_v,category,op
4934,bruss,1.880996503538553,8.675285233968136,128,1.0,60000,0.0025,3.1629561874704626,11.07986805966636,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",994179,100,/cluster/scratch/vogtva/data/bruss/ball_big/4e6a5db9-b3d8-41ea-9587-d37479361613_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",1.6220447427422338,7.165004781689163,3.158273259678119,3252.6514,946.1668,1.3145322,20.787622,13.437936,14.003275,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5120,bruss,1.9247848364448727,7.837411453804952,128,1.0,60000,0.0025,2.984406084387188,12.11129971846744,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",22390,100,/cluster/scratch/vogtva/data/bruss/ball_big/bcbf01c7-8d13-44a2-99de-dfe3ae623bc0_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.422875716531065,2.422704783422707,0.000125722681369,446.42276,2.1845546,0.005171063,0.43937516,6.5232944,4.9375205,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5184,bruss,1.9247848364448727,7.837411453804952,128,1.0,60000,0.0025,2.984406084387188,12.11129971846744,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",67214,100,/cluster/scratch/vogtva/data/bruss/ball_big/93c30d30-5ae3-4371-b99b-c9c2e252d5e7_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.617748590051775,5.517987233901165,2.373689477352331,2562.2827,782.8683,1.0440773,17.079584,10.470541,11.640958,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5332,bruss,1.9637752050483488,8.716410339184572,128,1.0,60000,0.0025,2.845054602917409,11.524258677652323,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",697055,100,/cluster/scratch/vogtva/data/bruss/ball_big/75147296-6b35-49b2-b906-ee58dff99777_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.7261044979659763,2.726115361501479,3.17534924619888e-05,472.33456,1.513996,0.006412927,0.51145244,7.3467917,5.2262263,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5341,bruss,1.9999336918108703,7.238568108365503,128,1.0,60000,0.0025,3.105555816891041,11.519442989225688,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",335978,100,/cluster/scratch/vogtva/data/bruss/ball_big/879f2759-43eb-478b-856d-aa160a92dae7_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",7.034402852255917,5.172749514607988,2.539296069489714,1901.7605,858.7959,1.4975184,8.494255,6.9838457,9.34889,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5419,bruss,1.9987027792721863,7.380217732158668,128,1.0,60000,0.0025,2.831332197663593,11.052101581877572,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",314617,100,/cluster/scratch/vogtva/data/bruss/ball_big/e31b11f1-8ad9-4c72-a55c-e32110a0e930_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.1611981092825445,5.086663746489576,3.210592420332719,2268.2834,1047.699,0.9432492,16.980026,9.733235,10.230273,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5574,bruss,1.8140795879476357,7.8734730714422,128,1.0,60000,0.0025,2.829251740391214,12.227565331275686,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",335245,100,/cluster/scratch/vogtva/data/bruss/ball_big/1f1930cf-8069-4f06-a816-a5d2cef807f7_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",5.163277205066568,5.9902488211908285,2.204937916102212,2855.2979,750.1165,1.1249944,19.24519,11.95139,12.335143,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5579,bruss,2.0231234738322703,8.484361221240519,128,1.0,60000,0.0025,3.079605297340967,12.729033279927291,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",359077,100,/cluster/scratch/vogtva/data/bruss/ball_big/0521206a-ad1e-459e-88b8-f26362feef73_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",9.838225545488164,6.664062170626849,3.3483030455652374,2677.0957,1024.2126,1.3398248,15.388832,10.35255,12.550485,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5721,bruss,1.9638683151913143,8.693356005868655,128,1.0,60000,0.0025,3.1304933976539133,11.201653071665325,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",404368,100,/cluster/scratch/vogtva/data/bruss/ball_big/e87110f0-bd91-41f3-958e-21ef7e3aeba1_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.038059009800296,7.269999087000738,3.80209177268644,3149.7085,1168.7307,1.1337149,21.58318,13.250835,13.525189,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5926,bruss,2.08097326917086,8.20431712533603,128,1.0,60000,0.0025,3.294135135429761,11.621495512689307,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",504426,100,/cluster/scratch/vogtva/data/bruss/ball_big/ad37aab4-91c3-4905-a616-03c7673b6856_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",8.972591531065088,6.256101792916743,2.707415664889473,2638.9287,835.12714,1.3630989,18.273256,11.243259,11.722394,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5932,bruss,1.9638683151913143,8.693356005868655,128,1.0,60000,0.0025,3.1304933976539133,11.201653071665325,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",902566,100,/cluster/scratch/vogtva/data/bruss/ball_big/1ab0b8aa-4713-4709-9997-a48e208684d6_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",5.948474251109468,6.544875759869638,2.385373913696535,3138.2146,776.38074,1.021804,22.761309,13.272234,13.551902,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
5998,bruss,1.904860373472392,7.653105792184519,128,1.0,60000,0.0025,3.157130162928293,12.415668570711704,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",991483,100,/cluster/scratch/vogtva/data/bruss/ball_big/df5f48e1-9bd3-451a-8d56-68037c48bfaa_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",7.7784197022929,6.136785734097634,3.026292806930189,2571.6401,943.88855,1.349139,16.546225,10.915698,11.299534,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6124,bruss,1.8255973753390964,8.782509065484172,128,1.0,60000,0.0025,3.116723505914767,12.952859182271595,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",596838,100,/cluster/scratch/vogtva/data/bruss/ball_big/0ea23748-f3fc-490b-a81b-dce67c010808_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",3.1177478966346155,7.539785849667159,3.343860675419354,3302.7505,996.1212,1.417079,21.574453,13.778699,14.69307,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6200,bruss,1.880996503538553,8.675285233968136,128,1.0,60000,0.0025,3.1629561874704626,11.07986805966636,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",737420,100,/cluster/scratch/vogtva/data/bruss/ball_big/e857ec85-1330-470d-9b82-8ff01635b668_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.5929868944156804,2.5930420788646447,4.121926948343488e-05,413.21515,2.211167,0.003470322,0.27535775,6.6807914,5.7797627,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6310,bruss,1.8255973753390964,8.782509065484172,128,1.0,60000,0.0025,3.116723505914767,12.952859182271595,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",771952,100,/cluster/scratch/vogtva/data/bruss/ball_big/47b60578-8b06-44f1-944e-87e9579655c1_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",14.731328587278108,7.784745579465607,3.176456844785966,3344.2288,800.5653,1.3189822,20.257282,13.362344,14.696623,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6333,bruss,1.8179788519710385,8.064825171435272,128,1.0,60000,0.0025,2.935526688580343,12.538152687052166,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",996813,100,/cluster/scratch/vogtva/data/bruss/ball_big/d196c495-c3c0-4ab6-ab28-9bf6fb9671c6_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",7.328013590976331,5.984016484909509,3.1046363884379047,2905.3164,861.4022,1.3421599,17.050928,11.845952,12.812203,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6379,bruss,1.9247848364448727,7.837411453804952,128,1.0,60000,0.0025,2.984406084387188,12.11129971846744,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",310558,100,/cluster/scratch/vogtva/data/bruss/ball_big/521b0517-773b-409d-8667-11b9ce3c017e_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.4433420395710055,5.736969981537769,2.571653116206572,2659.7947,841.1631,1.1267829,19.47286,11.366494,11.637038,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6385,bruss,2.046314113922003,8.12596034759825,128,1.0,60000,0.0025,3.063902634873254,11.314031231051352,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",181194,100,/cluster/scratch/vogtva/data/bruss/ball_big/263391cf-d599-4372-8627-fcb69bd45d7d_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.3114122018306213,2.312128368851701,0.0003709567833375,370.81616,3.7974002,0.002865874,0.25136855,6.293985,4.7254663,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6464,bruss,1.8932633595109871,8.175696053279788,128,1.0,60000,0.0025,3.084840569445798,12.638720690141524,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",964155,100,/cluster/scratch/vogtva/data/bruss/ball_big/740afc15-8b8f-4fe7-998b-66ef2f6ec564_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",9.57572508321006,6.187997272559171,3.1882804643085554,2424.9663,973.03455,1.5605209,6.538934,8.152474,12.032723,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6811,bruss,2.0231234738322703,8.484361221240519,128,1.0,60000,0.0025,3.079605297340967,12.729033279927291,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",177034,100,/cluster/scratch/vogtva/data/bruss/ball_big/bc7384d0-57ff-4806-85c2-11ce2a6e1e24_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.6009864436945267,2.600901552098743,5.979193297685666e-05,412.13898,2.164827,0.003816545,0.3323642,6.933113,4.997731,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6872,bruss,1.9637752050483488,8.716410339184572,128,1.0,60000,0.0025,2.845054602917409,11.524258677652323,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",759280,100,/cluster/scratch/vogtva/data/bruss/ball_big/abc46946-b448-4fa7-b421-58273e5d0f78_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.917069387943787,6.821481844027366,2.54515130843772,3171.8142,837.06757,1.0893743,21.153845,13.384937,13.606825,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6942,bruss,2.08097326917086,8.20431712533603,128,1.0,60000,0.0025,3.294135135429761,11.621495512689307,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",671380,100,/cluster/scratch/vogtva/data/bruss/ball_big/8b33e229-7928-4a0d-b064-ec5c48894f34_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",7.422268745377218,6.181938375439164,2.673449221112917,2536.0347,919.08936,1.4083269,16.811958,10.371069,11.691207,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
6992,bruss,1.9987027792721863,7.380217732158668,128,1.0,60000,0.0025,2.831332197663593,11.052101581877572,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",158226,100,/cluster/scratch/vogtva/data/bruss/ball_big/edbfd48e-bcd8-49a8-a0a9-38bcbadade58_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",1.1790222529123522,5.110121999526165,3.1167080454791933,2200.6992,1102.9149,1.0009543,16.292929,9.159273,10.226933,SS,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
7040,bruss,1.8255973753390964,8.782509065484172,128,1.0,60000,0.0025,3.116723505914767,12.952859182271595,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",283074,100,/cluster/scratch/vogtva/data/bruss/ball_big/78ef2bd1-1d8b-4d36-8240-7d8449d69352_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",3.0231424509985207,3.0230109213202665,7.080009262818766e-05,462.00818,1.4080535,0.0055089933,0.47560248,7.431409,5.5152445,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
7047,bruss,1.880996503538553,8.675285233968136,128,1.0,60000,0.0025,3.1629561874704626,11.07986805966636,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",575038,100,/cluster/scratch/vogtva/data/bruss/ball_big/e1295f1e-684d-414d-b00b-dbbf67686a26_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",3.42822230954142,6.620896916316106,2.9327006228004966,3259.7834,863.2913,1.332939,20.048485,13.495267,14.026328,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
